Wall time,Step,Value
1602956071.9325645,0,32.66999816894531
1602956143.970783,1,38.540000915527344
1602956250.1406624,2,38.81999969482422
1602956335.2638648,3,44.630001068115234
1602956404.514544,4,46.81999969482422
1602956474.8792417,5,49.47999954223633
1602956541.3732972,6,51.060001373291016
1602956613.0016124,7,50.41999816894531
1602956678.4943476,8,53.5
1602956748.0322576,9,54.91999816894531
1602956817.7546735,10,56.09000015258789
1602956884.6356938,11,57.619998931884766
1602956956.3308306,12,57.43000030517578
1602957021.3777592,13,59.459999084472656
1602957091.2388039,14,61.29999923706055
1602957160.4685388,15,62.189998626708984
1602957227.2657828,16,63.65999984741211
1602957298.8841257,17,63.47999954223633
1602957364.0746694,18,65.52999877929688
1602957433.994557,19,65.87000274658203
1602957503.7269466,20,66.5199966430664
1602957570.2838342,21,66.30000305175781
1602957642.0208595,22,66.83999633789062
1602957707.1465762,23,67.55000305175781
1602957776.7981825,24,69.51000213623047
1602957846.4248545,25,69.77999877929688
1602957913.0465686,26,68.06999969482422
1602957984.514314,27,68.5199966430664
1602958049.5363088,28,69.16999816894531
1602958119.321557,29,70.91999816894531
1602958188.737793,30,72.52999877929688
1602958255.4372985,31,72.6500015258789
1602958326.8392198,32,72.05999755859375
1602958392.2202542,33,72.11000061035156
1602958461.8000522,34,72.22000122070312
1602958531.4386926,35,72.16999816894531
1602958597.9736383,36,71.4000015258789
1602958669.4024882,37,72.30999755859375
1602958734.3157737,38,73.4000015258789
1602958804.2825363,39,73.91000366210938
1602958873.988995,40,74.95999908447266
1602958940.600736,41,72.68000030517578
1602959012.1801825,42,73.91000366210938
1602959077.1333618,43,75.04000091552734
1602959146.8308446,44,72.87999725341797
1602959216.406653,45,74.16000366210938
1602959282.9306283,46,74.1500015258789
1602959354.4432538,47,74.7699966430664
1602959419.679675,48,75.01000213623047
1602959489.2684488,49,75.44000244140625
1602959559.5114715,50,70.44999694824219
1602959625.8599179,51,72.83000183105469
1602959697.6168885,52,73.8499984741211
1602959763.182429,53,74.8499984741211
1602959832.3593054,54,77.33999633789062
1602959902.5434859,55,75.5
1602959968.9128747,56,75.7300033569336
1602960040.4474413,57,75.73999786376953
1602960105.501351,58,75.73999786376953
1602960175.1409888,59,72.4800033569336
1602960244.8304935,60,72.5199966430664
1602960311.3355196,61,76.81999969482422
1602960383.1583147,62,75.3499984741211
1602960448.511424,63,75.18000030517578
1602960517.8229396,64,75.25
1602960587.507457,65,75.48999786376953
1602960653.9247189,66,77.93000030517578
